REF,Désignation produit,Code EAN,Prix/U. avant promotions,Prix/U.,Colisage,Qté,P. Conditionement,N. Colis,Poids brut,Unité de poids,HT,TVA
101007,Farine T55 France,3580281010075,0.58,0.58,10.00,2,5.80,2,1.00,KG,11.60,5.5
77553,Préparation de fruits BIO figue; pot 260g,3580280775531,1.80,1.80,6.00,1,10.80,1,0.26,KG,10.80,5.5
77536,Confiture mirabelles de Lorraine; pot 315g,3580280775364,1.84,1.66,6.00,1,11.04,1,0.32,KG,9.94,5.5
77530,Confiture clémentines-oranges de Corse; pot 315g,3580280775302,1.69,1.69,6.00,1,10.14,1,0.32,KG,10.14,5.5
77522,Crème de caramel au beurre salé; pot 220g,3561770003174,2.79,2.51,12.00,1,33.48,1,0.22,KG,30.13,5.5
77521,Crème de marrons d'Ardèche; pot 250g,3267710105174,1.46,1.39,12.00,1,17.52,1,0.25,KG,16.64,5.5
758101,Purée de sésame Tahin BIO; pot 280g,3267110000994,2.75,2.75,6.00,1,16.50,1,0.30,KG,16.50,5.5
74981,Spéculoos; paquet 225g,5411128412210,1.19,1.13,9.00,2,10.71,2,0.23,KG,20.35,5.5
74650,Madeleines coquilles emballées BIO;paquet 250g,3178530418569,1.89,1.89,8.00,2,15.12,2,0.25,KG,30.24,5.5
74518,Biscuits Amaretti boîte 200g,8004835322094,1.58,1.58,12.00,1,18.96,1,0.20,KG,18.96,5.5
74128,"Biscuits avoine, citron & chia BIO France pqt 130g",3226219012697,1.05,1.05,12.00,1,12.60,1,0.13,KG,12.60,5.5
74111,Biscuits batonnet chocolat lait BIO;paquet 125g,3173990026354,1.29,1.29,12.00,1,15.48,1,0.13,KG,15.48,5.5
74102,Biscuits carrés au citron et aux amande BIO France,3226219011362,9.49,9.49,3.00,1,28.47,1,1.00,KG,28.47,5.5
