Odoo Cat,Product Category SuperCoop,Unterkategorie SuperCoop,REF,Désignation produit,Code EAN,Prix/U. avant promotions,Prix/U.,Colisage,Qté,P. Conditionement,N. Colis,Poids brut,Unité de poids,HT,TVA
"All / Getreide- und Scheingetreide- 
 produkte. Reis & Hülsenfrüchte / Nudeln/Pasta","Getreide- und Scheingetreide- 
 produkte. Reis & Hülsenfrüchte",Nudeln/Pasta,118636,Pâtes Fusilli n°36; pqt 500g Savino Pasta,3580281186367,0.47,0.47,20.00,1,9.40,1,0.50,KG,9.40,5.5
"All / Getreide- und Scheingetreide- 
 produkte. Reis & Hülsenfrüchte / Nudeln/Pasta","Getreide- und Scheingetreide- 
 produkte. Reis & Hülsenfrüchte",Nudeln/Pasta,118631,Pâtes Penne Rigate n°31; pqt 500g Savino Pasta,3580281186312,0.47,0.47,20.00,1,9.40,1,0.50,KG,9.40,5.5
"All / Getreide- und Scheingetreide- 
 produkte. Reis & Hülsenfrüchte / Nudeln/Pasta","Getreide- und Scheingetreide- 
 produkte. Reis & Hülsenfrüchte",Nudeln/Pasta,118605,Pâtes Spaghetti n°5; pqt 500g Savino Pasta,3580281186053,0.47,0.47,24.00,1,11.28,1,0.50,KG,11.28,5.5
"All / Getreide- und Scheingetreide- 
 produkte. Reis & Hülsenfrüchte / Nudeln/Pasta","Getreide- und Scheingetreide- 
 produkte. Reis & Hülsenfrüchte",Nudeln/Pasta,118603,Pâtes Capellini n°3; pqt 500g Savino Pasta,3580281186039,0.47,0.47,24.00,1,11.28,1,0.50,KG,11.28,5.5
All / Unverpackt / Unverpackt,Unverpackt,Unverpackt,117923,Pâtes Penne BIO Italie,8009940340575,3.50,3.50,4.00,1,14.00,1,3.00,KG,14.00,5.5
All / Unverpackt / Unverpackt,Unverpackt,Unverpackt,117922,Pâtes Fusilli BIO Italie,8009940340827,3.50,3.50,4.00,1,14.00,1,3.00,KG,14.00,5.5
"All / Getreide- und Scheingetreide-
 produkte. Reis & Hülsenfrüchte / Nudeln/Pasta","Getreide- und Scheingetreide-
 produkte. Reis & Hülsenfrüchte",Nudeln/Pasta,117915,Pâtes italiennes Maccaroni BIO; pqt 500g 1881,8003740121709,0.67,0.67,20.00,1,13.40,1,0.50,KG,13.40,5.5
"All / Getreide- und Scheingetreide-
 produkte. Reis & Hülsenfrüchte / Nudeln/Pasta","Getreide- und Scheingetreide-
 produkte. Reis & Hülsenfrüchte",Nudeln/Pasta,117914,Pâtes italiennes Coquillette BIO n°252; 500g 1881,8003740122522,0.67,0.67,20.00,1,13.40,1,0.50,KG,13.40,5.5
"All / Getreide- und Scheingetreide-
 produkte. Reis & Hülsenfrüchte / Nudeln/Pasta","Getreide- und Scheingetreide-
 produkte. Reis & Hülsenfrüchte",Nudeln/Pasta,117913,Pâtes italiennes Farfalle BIO n°58 pqt 500g 1881,8003740120580,0.69,0.69,20.00,1,13.80,1,0.50,KG,13.80,5.5
"All / Getreide- und Scheingetreide-
 produkte. Reis & Hülsenfrüchte / Nudeln/Pasta","Getreide- und Scheingetreide-
 produkte. Reis & Hülsenfrüchte",Nudeln/Pasta,117912,Pâtes italiennes Fusilli BIO n°36 pqt 500g 1881,8003740120368,0.69,0.69,20.00,1,13.80,1,0.50,KG,13.80,5.5
All / Unverpackt / Unverpackt,Unverpackt,Unverpackt,108007,Céréales muesli croustillant BIO Belgique,3580281080078,3.79,3.60,15.00,1,56.85,1,1.00,KG,54.01,5.5
"All / Getreide- und Scheingetreide- 
 produkte. Reis & Hülsenfrüchte / Getreide & 
 Scheingetreide","Getreide- und Scheingetreide- 
 produkte. Reis & Hülsenfrüchte","Getreide & 
 Scheingetreide",1075022,Quinoa France,3580281075029,1.75,1.75,15.00,1,26.25,1,0.50,KG,26.25,5.5
All / Unverpackt / Unverpackt,Unverpackt,Unverpackt,104044,Couscous complet BIO; Italie,3580281040447,6.95,6.60,1.00,1,6.95,1,5.00,KG,6.60,5.5
"All / Getreide- und Scheingetreide- 
 produkte. Reis & Hülsenfrüchte / Getreide & 
 Scheingetreide","Getreide- und Scheingetreide- 
 produkte. Reis & Hülsenfrüchte","Getreide & 
 Scheingetreide",102023,Sarrasin décortiqué BIO ; paquet 500g,3380380085802,1.84,1.84,6.00,1,11.04,1,0.50,KG,11.04,5.5
All / Brot & Backwaren / Mehl,Brot & Backwaren,Mehl,1010101,Farine de sarrasin BIO paquet 500g,3580281010105,1.99,1.99,10.00,1,19.90,1,0.50,KG,19.90,5.5
All / Brot & Backwaren / Mehl,Brot & Backwaren,Mehl,101007,Farine T55 France,3580281010075,0.49,0.49,10.00,1,4.90,1,1.00,KG,4.90,5.5
All / Süßwaren. süße Snacks. Dauerbackwaren / Schoko-/ Frucht-/ Fitness-Riegel,Süßwaren. süße Snacks. Dauerbackwaren,Schoko-/ Frucht-/ Fitness-Riegel,75222,Barre de céréales amandes et cranberry BIO 30g,5425036870611,0.89,0.89,90.00,1,80.10,1,0.03,KG,80.10,5.5
All / Süßwaren. süße Snacks. Dauerbackwaren / Schoko-/ Frucht-/ Fitness-Riegel,Süßwaren. süße Snacks. Dauerbackwaren,Schoko-/ Frucht-/ Fitness-Riegel,75220,Barre de céréales deluxe BIO 40g,5425036870031,0.89,0.89,90.00,1,80.10,1,0.04,KG,80.10,5.5
"All / Brot & Backwaren / Back & 
 Dessertwelt",Brot & Backwaren,"Back & 
 Dessertwelt",750291,Chocolat noir dessert; tablette 300g,5412956216438,1.95,1.95,12.00,1,23.40,1,0.30,KG,23.40,5.5
All / Süßwaren. süße Snacks. Dauerbackwaren / Kekse & Gebäck,Süßwaren. süße Snacks. Dauerbackwaren,Kekse & Gebäck,74981,Spéculoos; paquet 225g,5411128412210,1.19,1.19,9.00,1,10.71,1,0.23,KG,10.71,5.5
All / Süßwaren. süße Snacks. Dauerbackwaren / Kekse & Gebäck,Süßwaren. süße Snacks. Dauerbackwaren,Kekse & Gebäck,74912,Palets pur beurre;paquet 280g La Trinitaine,3260260046164,1.64,1.64,12.00,1,19.68,1,0.28,KG,19.68,5.5
All / Süßwaren. süße Snacks. Dauerbackwaren / Kekse & Gebäck,Süßwaren. süße Snacks. Dauerbackwaren,Kekse & Gebäck,74651,Madeleines nappées au chocolat paquet 250g,3178530418552,1.39,1.39,10.00,1,13.90,1,0.25,KG,13.90,5.5
All / Süßwaren. süße Snacks. Dauerbackwaren / Kekse & Gebäck,Süßwaren. süße Snacks. Dauerbackwaren,Kekse & Gebäck,74650,Madeleines coquilles emballées BIO;paquet 250g,3178530418569,1.89,1.89,8.00,1,15.12,1,0.25,KG,15.12,5.5
All / Süßwaren. süße Snacks. Dauerbackwaren / Kekse & Gebäck,Süßwaren. süße Snacks. Dauerbackwaren,Kekse & Gebäck,74518,Biscuits Amaretti boîte 200g,8004835322094,1.58,1.58,12.00,1,18.96,1,0.20,KG,18.96,5.5
All / Süßwaren. süße Snacks. Dauerbackwaren / Kekse & Gebäck,Süßwaren. süße Snacks. Dauerbackwaren,Kekse & Gebäck,74128,"Biscuits avoine, citron & chia BIO France pqt 130g",3226219012697,1.05,1.05,12.00,1,12.60,1,0.13,KG,12.60,5.5
All / Süßwaren. süße Snacks. Dauerbackwaren / Kekse & Gebäck,Süßwaren. süße Snacks. Dauerbackwaren,Kekse & Gebäck,74111,Biscuits batonnet chocolat lait BIO;paquet 125g,3173990026354,1.29,1.29,12.00,1,15.48,1,0.13,KG,15.48,5.5
All / Süßwaren. süße Snacks. Dauerbackwaren / Kekse & Gebäck,Süßwaren. süße Snacks. Dauerbackwaren,Kekse & Gebäck,74100,Biscuits petit beurre BIO;paquet 167g,3173990060358,1.20,1.20,12.00,1,14.40,1,0.17,KG,14.40,5.5
